accident_month,0,1,2,3,4,5,6
2024-01,196882,415953.0,423921.0,424110.0,424125.0,424125.0,424125.0
2024-02,171689,391027.0,397070.0,397224.0,397242.0,397242.0,397242.0
2024-03,196621,417026.0,423877.0,424068.0,424082.0,424082.0,424082.0
2024-04,183970,404081.0,410282.0,410454.0,410475.0,410475.0,410475.0
2024-05,197320,417387.0,424508.0,424685.0,424698.0,424698.0,424698.0
2024-06,184653,404269.0,410340.0,410534.0,410550.0,410550.0,410550.0
2024-07,197715,419291.0,425327.0,425501.0,425512.0,425513.0,
2024-08,196956,417361.0,424455.0,424629.0,424647.0,,
2024-09,183688,404118.0,410279.0,410448.0,,,
2024-10,197728,418449.0,425419.0,,,,
2024-11,183900,403744.0,,,,,
2024-12,197436,,,,,,
