accident_month,0,1,2,3,4,5,6
2024-01,196882,415953.0,423921.0,424110.0,424125.0,424125.0,424125.0
2024-02,171689,391027.0,397070.0,397224.0,397242.0,397242.0,397242.0
2024-03,196621,417026.0,423877.0,424068.0,424082.0,424082.0,424082.0
2024-04,183970,404081.0,410282.0,410454.0,410475.0,410475.0,410475.0
2024-05,197320,417387.0,424508.0,424685.0,424698.0,424698.0,424698.0
2024-06,184653,404269.0,410340.0,410534.0,410550.0,410550.0,410550.0
2024-07,197715,419291.0,425327.0,425501.0,425512.0,425513.0,425513.0
2024-08,196956,417361.0,424455.0,424629.0,424647.0,424650.0,424650.0
2024-09,183688,404118.0,410279.0,410448.0,410467.0,410467.0,410467.0
2024-10,197728,418449.0,425419.0,425584.0,425603.0,425603.0,425603.0
2024-11,183900,403744.0,409818.0,409983.0,410004.0,410005.0,410005.0
2024-12,197436,418768.0,424903.0,425113.0,425130.0,425130.0,425130.0
2025-01,197741,415646.0,424961.0,425157.0,425177.0,425177.0,425177.0
2025-02,159594,377362.0,383336.0,383509.0,383527.0,383527.0,383527.0
2025-03,197091,417030.0,424007.0,424188.0,424208.0,424208.0,424208.0
2025-04,185120,405673.0,411820.0,411992.0,412011.0,412012.0,
2025-05,197417,418151.0,425029.0,425212.0,425231.0,,
2025-06,184869,404870.0,411179.0,411330.0,,,
2025-07,196925,417648.0,423625.0,,,,
2025-08,196583,417241.0,,,,,
2025-09,183805,,,,,,
