accident_month,0,1,2,3,4,5,6
2024-01,93900017.81,364176119.69,423890866.11,429337696.07,430199143.15999997,430199143.15999997,430199143.15999997
2024-02,76060012.26,347197488.86,394941938.21000004,400180935.53000003,401349540.06,401349540.06,401349540.06
2024-03,93575948.78,368667054.70000005,422584252.58000004,427934449.89000005,428605363.76000005,428605363.76000005,428605363.76000005
2024-04,84970574.46,362728943.84999996,415152445.63,420463208.34,421535608.65999997,421535608.65999997,421535608.65999997
2024-05,93827105.7,370526083.27,424571974.09999996,429684823.9,430403636.94,430403636.94,430403636.94
2024-06,85159902.04,360651418.46000004,409610377.72,415983501.63000005,416868449.3500001,416868449.3500001,416868449.3500001
2024-07,93759175.07,375180642.83,424058042.65,429315934.82,429864576.13,429896313.43,429896313.43
2024-08,93823187.09,370857037.20000005,425872553.11,431440346.21000004,432258812.68000007,432449121.5300001,432449121.5300001
2024-09,84407073.13,359377985.01,410326566.62,415358801.42,416580410.45,416580410.45,416580410.45
2024-10,93567903.29,369089894.08000004,423070214.87000006,427733600.58000004,428922143.99000007,428922143.99000007,
2024-11,84271671.58,360922190.22999996,412344103.90999997,417066154.03999996,418290032.92999995,,
2024-12,93269201.44,374908717.16,424124258.27000004,430328141.61,,,
2025-01,93446164.71,359185846.31,424263489.83,,,,
2025-02,68113245.05,334120721.75,,,,,
2025-03,93748942.98,,,,,,
