accident_month,0,1,2,3,4,5,6
2024-01,93900017.81,364176119.69,423890866.11,429337696.07,430199143.15999997,430199143.15999997,430199143.15999997
2024-02,76060012.26,347197488.86,394941938.21000004,400180935.53000003,401349540.06,401349540.06,401349540.06
2024-03,93575948.78,368667054.70000005,422584252.58000004,427934449.89000005,428605363.76000005,428605363.76000005,428605363.76000005
2024-04,84970574.46,362728943.84999996,415152445.63,420463208.34,421535608.65999997,421535608.65999997,421535608.65999997
2024-05,93827105.7,370526083.27,424571974.09999996,429684823.9,430403636.94,430403636.94,430403636.94
2024-06,85159902.04,360651418.46000004,409610377.72,415983501.63000005,416868449.3500001,416868449.3500001,416868449.3500001
2024-07,93759175.07,375180642.83,424058042.65,429315934.82,429864576.13,429896313.43,429896313.43
2024-08,93823187.09,370857037.20000005,425872553.11,431440346.21000004,432258812.68000007,432449121.5300001,432449121.5300001
2024-09,84407073.13,359377985.01,410326566.62,415358801.42,416580410.45,416580410.45,416580410.45
2024-10,93567903.29,369089894.08000004,423070214.87000006,427733600.58000004,428922143.99000007,428922143.99000007,428922143.99000007
2024-11,84271671.58,360922190.22999996,412344103.90999997,417066154.03999996,418290032.92999995,418381020.30999994,418381020.30999994
2024-12,93269201.44,374908717.16,424124258.27000004,430328141.61,431359822.71000004,431359822.71000004,431359822.71000004
2025-01,93446164.71,359185846.31,424263489.83,429805092.4,430775572.7,430775572.7,430775572.7
2025-02,68113245.05,334120721.75,381146314.48,386547907.57,387520907.2,387520907.2,387520907.2
2025-03,93748942.98,367143607.68,419857096.34000003,424833792.39000005,425944582.95000005,425944582.95000005,425944582.95000005
2025-04,84841058.42,358915053.29,409450311.89000005,414347219.59000003,415319964.87,415419964.87,415419964.87
2025-05,93777251.47,368307350.66999996,422164712.79999995,427766044.74999994,428913790.56999993,428913790.56999993,428913790.56999993
2025-06,85272145.73,361784246.57,414465288.8,419348798.90000004,420382895.12000006,420382895.12000006,420382895.12000006
2025-07,93840266.53,372871943.63,422409413.95,427754554.17,428302953.76,428335731.06,
2025-08,94212706.07,369775633.04,424303386.84000003,429789548.24,430763841.89,,
2025-09,85048035.93,361279084.5,412615853.52,417935539.57,,,
2025-10,94152254.62,368642329.21,422463186.03999996,,,,
2025-11,84760739.38,362021449.69,,,,,
2025-12,93633415.34,,,,,,
